question,a,b,c,d,answer,category,times_missed
What is a keyword argument?,An argument that uses a reserved Python keyword,An argument passed using the parameter name in the function call,An argument that can only be a string,An argument that must come first,b,functions,0
What does the nonlocal keyword do?,Creates a new local variable,Accesses a variable from the global scope,Accesses and modifies a variable from an enclosing non-global scope,Deletes a variable,c,functions,0
What is the difference between positional and keyword arguments?,There is no difference,Positional arguments are passed by position; keyword arguments are passed by name,Keyword arguments must come before positional arguments,Positional arguments are for classes only,b,functions,0
What happens if a function has no return statement?,It raises an error,It returns 0,It returns None,It returns an empty string,c,functions,0
Does Python enforce type hints at runtime?,Yes — it raises TypeError for wrong types,Only in strict mode,Only with mypy installed,No — type hints are for documentation and static analysis tools only,d,functions,0
"What does typing.Dict[str, int] indicate?",A dictionary sorted by string keys,A type hint for a dictionary with string keys and integer values,A dictionary that only allows two entries,A frozen dictionary,b,functions,0
What is the correct way to define a function in Python?,define myFunc():,func myFunc():,def myFunc():,function myFunc():,c,functions,0
"What is the output of (lambda x, y: x + y)(3, 4)?",34,Error,12,7,d,functions,0
What is function annotation in Python?,A way to enforce type checking,Metadata attached to parameters and return values using : and -> syntax,A docstring,A comment above a function,b,functions,0
What does filter() do?,Removes duplicate values,Sorts an iterable,Returns an iterator of items for which a function returns True,Maps values to keys,c,functions,0
"What do map(), filter(), and reduce() have in common?",They all modify lists in place,They all return dictionaries,They are all higher-order functions that take a function and an iterable,They all require lambda functions,c,functions,0
What is the purpose of typing.Optional[int]?,Makes the variable optional,Indicates the value can be int or None,Creates a nullable integer,Makes the parameter have a default value,b,functions,0
What does map() do?,Maps keys to values in a dictionary,Applies a function to every item in an iterable and returns an iterator,Filters items from a list,Sorts an iterable,b,functions,0
"What mode string opens a file for writing, creating it if it doesn't exist?",r,x,w,a,c,file_io,0
What is the difference between a set and a frozenset?,There is no difference,A frozenset is ordered; a set is not,A frozenset is immutable; a set is mutable,A set cannot contain numbers,c,data_types,0
What does the else clause on a for loop do?,Runs if the loop encounters an error,Always runs after the loop,Runs only if the loop completes without hitting a break,Runs if the loop body is empty,c,control_flow,0
What does the ^ operator do with integers?,Exponentiation,Bitwise XOR,Logical XOR,String formatting,b,operators,0
What is a virtual environment in Python?,A simulated operating system,An isolated Python environment with its own packages and interpreter,A debugging mode,A type of IDE,b,modules,0
What is the benefit of using __slots__?,Faster method calls,Reduced memory usage per instance and slightly faster attribute access,Automatic type checking,Inheritance optimization,b,OOP,0
What is __init__.py used for?,Initializing variables,Marking a directory as a Python package,Defining the main function,Creating a virtual environment,b,modules,0
What does collections.deque provide?,A database queue,A double-ended queue supporting efficient appends and pops from both ends,A sorted list,A priority queue,b,modules,0
What does the collections module provide?,Garbage collection utilities,"Specialized container data types like Counter, deque, defaultdict, and OrderedDict",Database collections,File collection tools,b,modules,0
What does the << operator do?,Left shift — shifts bits to the left,Less than comparison,String indentation,Assignment,a,operators,0
Can a list contain different data types?,"Yes, lists can hold mixed types",No — only strings,No — only numbers,No — only one type per list,a,lists,0
Can you use send() with a generator?,Yes — to send a value into the generator at the point of the yield expression,No — generators only produce values,Only with async generators,Only before the first yield,a,generators,0
"What does setattr(obj, 'x', 10) do?",Creates a new class,Sets the attribute x on obj to 10,Raises an error,Checks if obj has attribute x,b,built_ins,0
Which of these creates a set?,set = [],set = {},"set = (1, 2, 3)","set = {1, 2, 3}",d,data_types,0
What does eval() do?,Evaluates a string as a Python expression and returns the result,Validates Python syntax,Runs a Python file,Checks variable types,a,built_ins,0
What is the output of print(type(True))?,<class 'bool'>,<class 'int'>,<class 'str'>,<class 'NoneType'>,a,data_types,0
What does match/case do in Python 3.10+?,Regular expression matching,Pattern matching similar to switch/case in other languages,String matching,File pattern matching,b,control_flow,0
What is the difference between @staticmethod and @classmethod?,They are identical,@staticmethod receives cls; @classmethod receives nothing,@staticmethod receives no implicit first argument; @classmethod receives the class as cls,@classmethod cannot access class attributes,c,OOP,0
What is inheritance in OOP?,When two classes share the same name,A class that cannot be modified,When a method calls itself,When a class adopts attributes and methods from another class,d,OOP,0
What is the default metaclass in Python?,object,ABCMeta,type,base,c,OOP,0
What does the len dunder method allow?,Defining string representation,Iterating over an object,Comparing two objects,Using len() on a custom object,d,OOP,0
What does the unittest module provide?,Unit conversion utilities,A framework for writing and running test cases,Performance testing tools,Code coverage analysis,b,modules,0
What does dir() return?,The current directory,A list of names in the current scope or attributes of an object,All Python keywords,The file directory,b,built_ins,0
What is the result of 3 ** 2 in Python?,6,9,8,5,b,operators,0
What is a raw string in Python?,A string prefixed with r that treats backslashes as literal characters,A string that cannot be modified,An unformatted string,A string read from a file,a,strings,0
What does collections.Counter do?,Counts to a specified number,Counts the occurrences of elements in an iterable and returns a dictionary-like object,Creates a counter variable,Counts files in a directory,b,modules,0
What is the output of 'Python'[1:4]?,Pyt,yth,ytho,Pyth,b,strings,0
What does del mylist[1] do?,Removes the first element,Removes the element at index 1,Clears the list,Removes the last element,b,lists,0
What is the purpose of the 'else' clause in a try/except block?,Suppresses the exception,Runs only if no exception was raised,Runs if an exception occurs,Always runs,b,error_handling,0
"How do you access the second element of a nested list [[1,2],[3,4]]?",list[1][1],list[2],list[0][1],list[1][0],c,lists,0
What does str.format() do?,Formats a file for writing,Checks the format of a string,Formats a string by replacing placeholders with values,Converts a string to a specific encoding,c,strings,0
What does dict.keys() return?,A list of key-value pairs,A view of all keys in the dictionary,A list of values,A sorted list of keys,b,dictionaries,0
What is the difference between an iterable and an iterator?,They are the same,An iterable can produce an iterator; an iterator maintains state and produces values with __next__,An iterator is a type of list,An iterable uses yield,b,syntax,0
What does __contains__ allow?,Checking if an object is callable,Defining how an object is printed,Using the in operator with a custom object,Checking if a class has a method,c,OOP,0
What is the output of 'hello' + 'world'?,helloworld,error,hello+world,hello world,a,strings,0
What is the walrus operator in Python?,==,:=,=>,<=,b,operators,0
How do you check the number of items in a list called mylist?,len(mylist),mylist.count(),mylist.size(),count(mylist),a,lists,0
How do you check if an element exists in a list?,list.has(element),list.contains(element),element in list,list.exists(element),c,lists,0
What is the average time complexity of looking up a key in a dictionary?,O(n),O(log n),O(1),O(n^2),c,data_structures,0
What is a list comprehension?,A way to flatten a nested list,A way to sort a list in place,A concise syntax for building a list using a loop,A method to copy a list,c,comprehensions,1
"What does ' '.join(['a', 'b', 'c']) return?",a b c,"['a', 'b', 'c']",abc,a-b-c,a,strings,0
What does the 'raise' keyword do?,Suppresses an exception,Manually triggers an exception,Logs an exception,Catches an exception,b,error_handling,0
What does getattr() do?,Gets an attribute from a module,Returns the value of a named attribute of an object with an optional default,Gets the type of an attribute,Gets all attributes,b,built_ins,0
What does [row[i] for row in matrix] do?,Extracts a row from a matrix,Flattens a matrix,Extracts a column from a matrix,Transposes a matrix,c,comprehensions,0
What is the time complexity of accessing an element by index in a list?,O(n),O(log n),O(n^2),O(1),d,data_structures,0
What is the ternary conditional expression in Python?,if x then y else z,x ? y : z,y if x else z,x if else y z,c,operators,0
What does the open() function return?,A string,A list of lines,A bytes object,A file object,d,file_io,0
What is polymorphism in Python?,The ability of different objects to be used interchangeably through a shared interface,When a function calls itself,When a class inherits from multiple parents,When a class has multiple constructors,a,OOP,0
What does set.pop() do?,Removes the last element,Removes and returns an arbitrary element from the set,Removes the first element,Returns the smallest element,b,data_types,0
What does list.append() do?,Inserts an element at a given index,Adds each element of an iterable individually,Adds a single element to the end,Adds an element to the beginning,c,lists,0
What is pip?,A Python interpreter,The Python package installer,A Python IDE,A Python debugger,b,modules,0
What does file.read() do?,Reads a fixed number of bytes,Reads one line,Reads all lines into a list,Reads the entire file as a string,d,file_io,0
What does itertools.product() do?,Multiplies numbers,Computes the Cartesian product of input iterables,Creates a product catalog,Produces all permutations,b,modules,0
What is the difference between '==' and 'is'?,They are identical,'is' checks value equality; '==' checks identity,'is' only works with strings,'==' checks value equality; 'is' checks identity,d,operators,0
What is a descriptor in Python?,A docstring for a class,A way to sort objects,"An object that defines __get__, __set__, or __delete__ to customize attribute access",A type of decorator,c,OOP,0
What does set.issuperset() check?,If the set is empty,If the set contains all elements of another set,If two sets are disjoint,If the set is frozen,b,data_types,0
What does pip install requests do?,Creates a new module called requests,Downloads and installs the requests package from PyPI,Imports the requests module,Updates Python,b,modules,0
What does list.count() do?,Returns the length of the list,Returns the number of occurrences of a given value,Counts only unique elements,Returns a dictionary of value counts,b,lists,0
What is an iterator in Python?,A for loop,An object that implements __iter__ and __next__ to produce values one at a time,A list index,A generator function,b,syntax,0
What does os.makedirs() do?,Creates a single directory,Creates a directory and all necessary parent directories,Creates a file,Removes a directory,b,modules,0
What is a shallow copy?,A copy made with the copy module,A reference to the same object,An identical duplicate of an object including all nested objects,"A copy that only duplicates the outer object, with nested objects still shared",d,data_structures,0
What is string slicing?,Replacing part of a string,Splitting a string into a list,Converting a string to lowercase,Extracting a substring using index notation,d,strings,0
What is the time complexity of appending to a list?,O(n),O(1) amortized,O(log n),O(n^2),b,data_structures,0
What does isinstance() do?,Converts an object to a class,Checks if an object is an instance of a given class,Returns the type of an object,Checks if two objects are identical,b,OOP,0
"What does tuple([1, 2, 3]) return?","(1, 2, 3)","[1, 2, 3]","{1, 2, 3}",Error,a,data_types,0
What is a namedtuple?,A dictionary with named keys,A tuple subclass with named fields accessible by name as well as index,A named variable,A tuple that can be modified,b,data_structures,0
What is the purpose of repr?,To initialize an instance,To compare two objects,To define the string shown to end users,To define an unambiguous string representation for developers,d,OOP,0
What does file.seek() do?,Searches for text in a file,Moves the file cursor to a specified position,Finds a line number,Skips to the end of the file,b,file_io,0
What is the difference between w and a file modes?,w appends; a truncates,They are identical,w truncates the file and writes from the beginning; a appends to the end,a creates a new file; w does not,c,file_io,0
What does sys.argv contain?,The system architecture,The Python version,A list of command-line arguments passed to the script,The current working directory,c,modules,0
Are dictionaries ordered in Python 3.7+?,"Yes, they maintain insertion order",No — they are unordered,Only if you use OrderedDict,Only when sorted,a,dictionaries,0
What happens if you assign a value to an existing key in a dictionary?,A duplicate key is created,It raises a KeyError,The old value is overwritten with the new value,The dictionary becomes invalid,c,dictionaries,0
"What does range(1, 10, 2) produce?","[1, 3, 5, 7, 9]","[1, 2, 3, 4, 5]","[2, 4, 6, 8, 10]","[1, 3, 5, 7]",a,control_flow,0
What is the difference between list.sort() and sorted()?,sorted() sorts in place; list.sort() returns a new list,list.sort() only works on numbers,They are identical,list.sort() sorts in place and returns None; sorted() returns a new sorted list,d,lists,1
What does set.add() do?,Merges two sets,Adds a single element to the set,Converts a list to a set,Adds multiple elements,b,data_types,0
What does @staticmethod indicate?,The method belongs to an instance,The method receives cls as its first argument,The method cannot be called from an instance,The method does not receive self or cls,d,OOP,0
What happens if you call list.pop() on an empty list?,Returns None,Returns 0,Returns an empty list,Raises an IndexError,d,lists,0
What is a generator function?,A function that returns a list,A function that uses yield to produce values one at a time lazily,A function that generates random numbers,A function that creates classes,b,generators,0
What is the MRO in Python?,Module Registration Object,Main Runtime Object,Method Resolution Order — the order Python searches for methods in inheritance,Memory Read Order,c,OOP,0
What is the output of 10 % 3?,3,0,1,3.33,c,operators,0
What is a while loop?,A loop that runs a fixed number of times,A loop that runs as long as a condition is True,A loop that iterates over a sequence,A loop that never terminates,b,control_flow,0
What does __init__ do in a class?,Deletes the instance,Returns a string representation,Defines the class name,Initializes a new instance of the class,d,OOP,0
What is unique about sets in Python?,They are immutable,They are ordered,They allow duplicate values,They contain only unique values,d,data_types,0
How do you create a tuple with a single element?,x = (1),x = tuple(1),"x = (1,)",x = [1],c,data_types,0
What does (x**2 for x in range(5)) create?,A tuple,A list,A set,A generator expression,d,comprehensions,0
What does file.writelines() do?,Writes a single line,Writes an iterable of strings to the file,Writes lines with automatic newlines,Writes a numbered list,b,file_io,0
What does the __str__ method return?,A developer-oriented representation,A boolean value,A user-friendly string representation of the object,The class name,c,OOP,0
What does the logging module provide?,A way to print to the console,A flexible framework for emitting log messages with different severity levels,Error handling utilities,File writing utilities,b,modules,0
How do you create a namedtuple?,"from collections import namedtuple; Point = namedtuple('Point', ['x', 'y'])",namedtuple(x=1 y=2),tuple.named('Point'),import namedtuple,a,data_structures,0
Why does 0.1 + 0.2 not equal 0.3 in Python?,Python has a bug,Floats are stored as strings,Floating-point numbers have limited precision in binary representation,Python rounds all decimals,c,data_types,0
What is a metaclass?,A class that inherits from object,A class used to create other classes — the class of a class,A class with only static methods,A base class for all exceptions,b,OOP,0
What is the output of not True?,True,None,0,False,d,operators,0
What does file.write() do?,Writes a list to a file,Writes a string to the file,Writes bytes to the file,Writes a dictionary to the file,b,file_io,0
What is the time complexity of searching for an element in an unsorted list?,O(1),O(n),O(log n),O(n^2),b,data_structures,0
What is a RuntimeError?,An error that occurs during code compilation,An error during parsing,A generic error detected during execution that doesn't fit other categories,An error in the Python interpreter itself,c,error_handling,0
What is the difference between deep copy and shallow copy?,There is no difference,Shallow copy duplicates everything; deep copy does not,Shallow copy shares nested objects; deep copy recursively duplicates all nested objects,Deep copy is faster,c,data_structures,0
What does 'hello'[1] return?,e,h,l,o,a,strings,0
What does re.sub() do?,Submits a pattern to a database,Finds a substring,Replaces occurrences of a pattern with a replacement string,Subtracts characters from a string,c,modules,0
What does the json module's json.loads() do?,Parses a JSON string into a Python object,Converts a Python object to a JSON string,Validates JSON syntax,Writes a Python object to a JSON file,a,modules,0
What is a tuple in Python?,"An immutable, ordered sequence of elements",A mutable ordered sequence,An unordered collection of unique elements,A key-value mapping,a,data_types,0
"What is the output of [1, 2, 3][1:]?","[1, 2]","[2, 3]",[1],[3],b,lists,0
"What is the output of type((1,))?",<class 'list'>,<class 'int'>,<class 'tuple'>,<class 'set'>,c,data_types,0
What does round() do?,Always rounds up,Always rounds down,Rounds a number to a given number of decimal places,Truncates a number,c,built_ins,0
What is a walrus operator useful for?,Making code faster,Assigning variables inside expressions to avoid repeated computation,Creating constants,Type checking,b,operators,0
Which of these is the correct way to import a module?,require math,import math,include math,using math,b,modules,0
"What does [1, 2, 3][::-1] return?","[3, 2, 1]","[1, 2, 3]","[1, 3]",Error,a,lists,0
Is ** right-associative or left-associative?,Left-associative,Neither,Both,Right-associative — so 2 ** 3 ** 2 equals 2 ** (3 ** 2),d,operators,0
"What does pow(2, 3) return?",6,9,5,8,d,built_ins,0
What exception signals that a generator is exhausted?,GeneratorExit,EndOfGenerator,ValueError,StopIteration,d,generators,0
What is unpacking in Python?,Extracting values from an iterable and assigning them to variables,Importing a module,Decompressing a file,Converting a tuple to a list,a,syntax,0
What does the & operator do with integers?,Logical AND,String concatenation,Bitwise AND,Set union,c,operators,0
What does itertools.permutations() do?,Returns combinations with replacement,"Returns all possible orderings of a given length, where order matters",Returns unique elements,Randomly shuffles an iterable,b,modules,0
What does the assert statement do?,Prints a debug message,Checks a condition and raises AssertionError if it is False,Assigns a value,Imports a module,b,syntax,0
What is a defaultdict useful for?,Sorting dictionaries,Providing a default value for missing keys to avoid KeyError,Creating immutable dictionaries,Merging dictionaries,b,data_structures,0
What does the 'break' statement do in a loop?,Skips the current iteration,Pauses execution,Exits the loop immediately,Restarts the loop,c,control_flow,0
What does str.zfill() do?,Fills a string with zeros,Pads a string with leading zeros to reach a specified width,Removes zeros from a string,Counts zeros in a string,b,strings,0
What is the difference between bytes and bytearray?,They are identical,bytes is mutable; bytearray is immutable,bytes is immutable; bytearray is mutable,bytearray can only hold strings,c,data_types,0
What is the output of bool(0)?,1,False,True,None,b,data_types,0
What does dict.copy() do?,Creates a deep copy,Creates a shallow copy of the dictionary,Returns a reference to the same dictionary,Copies the dictionary to a file,b,dictionaries,0
What does the pickle module do?,Formats strings,Validates JSON,Serializes and deserializes Python objects to and from a byte stream,Compresses files,c,modules,0
What is the output of: x = 5; print('yes') if x > 3 else print('no')?,no,Error,5,yes,d,control_flow,0
What does int('42') return?,The string '42',A float 42.0,The integer 42,An error,c,data_types,0
What is string concatenation?,Splitting a string into parts,Combining two or more strings using the + operator,Converting a string to a list,Reversing a string,b,strings,0
What does the elif keyword do?,Ends an if block,Defines an alternative condition if the previous condition was False,Starts a loop,Defines a function,b,control_flow,0
What is a classmethod typically used for?,Modifying instance variables,Providing alternative constructors or methods that operate on the class rather than instances,Making methods private,Overriding parent methods,b,OOP,0
What is composition in OOP?,Inheriting from multiple classes,Using global variables inside classes,Building complex objects by including instances of other classes as attributes,Defining multiple methods with the same name,c,OOP,0
What is a context manager?,A class that manages memory,An object that defines __enter__ and __exit__ for use with the with statement,A function that catches exceptions,A module that manages imports,b,syntax,0
What is a slot in __slots__?,A position in a queue,An attribute name that instances are allowed to have — replacing the instance __dict__,A method placeholder,A type annotation,b,OOP,0
What does @abstractmethod do?,Makes a method private,Makes a method static,Marks a method that must be implemented by subclasses,Makes a method return None,c,OOP,0
What does from module import * do?,Imports only private names,Imports all public names from a module into the current namespace,Imports the module object itself,Creates a copy of the module,b,modules,0
What does {x: x**2 for x in range(5)} produce?,A set of squares,A list of tuples,"{0: 0, 1: 1, 2: 4, 3: 9, 4: 16}","[0, 1, 4, 9, 16]",c,comprehensions,0
What does __lt__ define?,How objects are printed,How objects are hashed,Behavior for the less-than operator,How objects are copied,c,OOP,0
What does abs() do?,Returns the ASCII value,Returns the absolute value of a number,Returns the abstract class,Aborts the program,b,built_ins,0
What does repr() do?,Prints an object,Returns a developer-oriented string representation of an object,Represents an object as bytes,Replicates an object,b,built_ins,0
What does 'and' return in the expression 'a and b'?,Always True,Always False,b if a is truthy — otherwise a,a if a is truthy — otherwise b,c,operators,0
What does os.path.exists() do?,Returns the size of a file,Creates a file,Deletes a file,Checks whether a file or directory exists,d,modules,0
What does dict.pop() do?,Removes the last item added,Removes and returns the value for a given key,Removes all items,Returns the last value,b,dictionaries,0
What does datetime.datetime.now() return?,The current date only,The current time only,The current date and time,A Unix timestamp,c,modules,0
"What is the output of sorted([3, 1, 2], reverse=True)?","[3, 2, 1]","[1, 2, 3]","[2, 1, 3]",Error,a,lists,0
What is an OrderedDict?,A dictionary sorted by values,A dictionary that remembers insertion order — useful before Python 3.7,A dictionary sorted by keys,A frozen dictionary,b,data_structures,0
What does the intersection of two sets return?,Elements only in the first set,All unique elements from both sets,Elements in neither set,Elements that exist in both sets,d,data_types,0
What is the output of 2 ** 3 ** 2?,64,512,36,12,b,operators,0
What does the bool type inherit from in Python?,float,str,object,int,d,data_types,0
What does generator.close() do?,Deletes the generator from memory,Closes the file associated with the generator,Raises GeneratorExit inside the generator to stop it,Pauses the generator,c,generators,0
What is an instance variable?,A variable shared by all instances,A variable unique to each instance — typically set in __init__ using self,A variable defined outside the class,A global variable used inside a class,b,OOP,0
What does the __name__ variable contain when a script is run directly?,The filename,The module name,__main__,None,c,modules,0
What does itertools.combinations() do?,Returns all possible orderings,Returns all subsequences of a given length without repeated elements,Creates random combinations,Returns the power set,b,modules,0
What does re.findall() do?,Finds the first match,Returns a list of all non-overlapping matches of a pattern in a string,Replaces all matches,Splits a string by a pattern,b,modules,0
What does the __repr__ method return?,A user-friendly string,An unambiguous string representation intended for developers and debugging,A boolean value,The object's memory address,b,OOP,0
What does the random module's random.choice() do?,Returns a random element from a sequence,Shuffles a list,Returns a random integer,Returns a random float,a,modules,0
What is a staticmethod typically used for?,Accessing class variables,Creating instances,Utility functions that don't need access to the class or instance,Defining abstract methods,c,OOP,0
What does the hash() function do?,Encrypts a string,Returns the hash value of an object used in dictionaries and sets,Returns the memory address,Checks if an object is hashable,b,built_ins,0
What is tuple unpacking?,"Assigning each element of a tuple to separate variables, such as a, b = (1, 2)",Converting a tuple to a list,Removing elements from a tuple,Reversing a tuple,a,data_types,0
What does [x for x in range(10) if x % 3 == 0] produce?,"[3, 6, 9]","[0, 3, 6, 9]","[1, 2, 4, 5, 7, 8]","[0, 1, 2, 3]",b,comprehensions,0
What does str.split() do with no arguments?,Splits on whitespace,Raises an error,Splits on commas,Splits into individual characters,a,strings,0
What does list.pop() do by default?,Removes and returns the last item,Removes a random item,Removes the first item,Clears the list,a,lists,0
What happens when a generator function is called?,It runs the function body immediately,It returns a generator object without executing the body until iterated,It returns None,It raises an error,b,generators,0
What does str.partition() do?,"Splits the string into three parts: before the separator, the separator, and after it",Splits the string into equal parts,Removes the separator from the string,Partitions the string by word,a,strings,0
How does a generator expression differ from a list comprehension?,It uses parentheses and produces values lazily,It uses square brackets,It is always faster,It produces all values at once,a,generators,0
"What is the result of len([1, [2, 3], 4])?",4,2,5,3,d,lists,0
What does callable() check?,If an object is a class,If an object can be called like a function,If an object has a __call__ attribute,If a function has a return statement,b,built_ins,0
What does the // operator do?,Regular division,Modulo operation,Exponentiation,Floor division — divides and rounds down to the nearest integer,d,operators,0
What is the output of print(0.1 + 0.2 == 0.3)?,True,Error,0.3,False,d,data_types,0
What does str.find() return if the substring is not found?,None,It raises an error,0,-1,d,strings,0
What is a ValueError?,An error when a variable is undefined,An error when a function receives an argument of the right type but inappropriate value,An error when dividing by zero,An error when a file is not found,b,error_handling,0
What does the % operator do in Python?,Divides two numbers,Returns the quotient,Returns the remainder of division,Raises to a power,c,operators,0
What is the output of bool([])?,True,0,Error,False,d,data_types,0
What does 'hello' * 3 return?,hellohellohello,hello3,Error,hello hello hello,a,strings,0
What does string interpolation with f-strings look like?,"f'Hello, {name}'","'Hello, ' + name","'Hello, %s' % name","format('Hello, {}', name)",a,strings,0
What does 'hello world'.split('o') return?,"['hell', ' w', 'rld']","['hello', 'world']","['h', 'e', 'l', 'l', 'o']",['hello world'],a,strings,0
What is the output of 10 // 3?,3.33,3,4,1,b,operators,0
What does file.readlines() do?,Reads only the first line,Reads the file one character at a time,Reads all lines into a list,Reads the entire file as a string,c,file_io,0
What does __hash__ define?,The object's type,A custom hash value for use in sets and as dictionary keys,The object's memory address,The object's string representation,b,OOP,0
When should you use threading vs multiprocessing?,Always use threading,Always use multiprocessing,Threading for I/O-bound tasks; multiprocessing for CPU-bound tasks,They are interchangeable,c,modules,0
What does the math module provide?,Machine learning tools,String manipulation functions,"Mathematical functions like sqrt, ceil, floor and constants like pi",Matrix operations,c,modules,0
What does super() do?,Deletes the parent class,Overrides all parent methods,Creates a new subclass,Calls a method from the parent class,d,OOP,0
What does __del__ do?,Deletes a class,Defines cleanup behavior when an object is about to be garbage collected,Deletes an attribute,Prevents deletion of an object,b,OOP,0
What is the difference between inheritance and composition?,They are the same,Inheritance uses is-a relationships; composition uses has-a relationships,Composition requires abstract classes,Inheritance is for methods; composition is for attributes,b,OOP,0
What does the del keyword do with a dictionary key?,Clears the entire dictionary,Removes the key-value pair for the specified key,Renames the key,Sets the value to None,b,dictionaries,0
What does the pathlib module provide?,String manipulation utilities,An object-oriented interface for filesystem paths,Database connection tools,Networking utilities,b,modules,0
What does the >> operator do?,Greater than comparison,Right shift — shifts bits to the right,String de-indentation,Appends to a file,b,operators,0
What is a dictionary's underlying implementation in CPython?,A balanced tree,A hash table,A linked list,An array,b,data_structures,0
How can you implement a queue efficiently in Python?,Using a list with append() and pop(0),Using a set,Using collections.deque with append() and popleft(),Using a dictionary,c,data_structures,0
What exception is raised when a file is not found?,FileNotFoundError,IOError,OSError,FileError,a,error_handling,0
Can you modify a tuple after creation?,Yes — tuples are mutable,Only the first element,Only by using a special method,No — tuples are immutable,d,data_types,0
What is a bytes object in Python?,A string encoded in UTF-8,An immutable sequence of integers in the range 0-255,A compressed file,A type of list,b,data_types,0
What does str.index() do compared to str.find()?,They are identical,index() returns -1 if not found; find() raises an error,index() raises a ValueError if not found; find() returns -1,index() only searches from the end,c,strings,0
What does __iter__ allow?,Printing an object,Making an object iterable with for loops,Comparing two objects,Indexing an object,b,OOP,0
What does a single underscore prefix on a method mean (e.g. _method)?,It is private and cannot be accessed at all,It is a class method,It is a convention indicating it is intended for internal use,It is a magic method,c,OOP,0
What does try/except/else/finally look like in execution order?,try then finally then except then else,try then else then except then finally,try runs first; except runs if exception; else runs if no exception; finally always runs,try then except then finally then else,c,error_handling,0
What keyword turns a function into a generator?,generate,return,next,yield,d,generators,0
"What does dict.setdefault(key, default) do?","Sets a key to default only if the key is not already present, and returns the value",Always overwrites the key with default,Removes the key if it exists,Returns True if the key has a default value,a,dictionaries,0
What is the output of f'{3.14159:.2f}'?,3.14,3.14159,3.1,3.15,a,strings,0
What does str.isdigit() do?,Converts a string to a number,Checks if all characters in the string are digits,Removes digits from a string,Returns the number of digits in a string,b,strings,0
What does list.extend() do?,Adds a single element to the end,Adds each element of an iterable to the list,Creates a new list,Removes multiple elements,b,lists,0
What is multiple inheritance?,A class that inherits from the same class twice,When a class has multiple instances,When a class inherits from more than one parent class,When inheritance goes more than two levels deep,c,OOP,0
What is the difference between remove() and pop()?,They are identical,remove() takes a value; pop() takes an index and returns the removed item,remove() takes an index; pop() takes a value,pop() raises an error if the item is not found,b,lists,1
What does [x**2 for x in range(4)] produce?,"[0, 1, 4, 9]","[1, 4, 9, 16]","[0, 2, 4, 6]","[1, 2, 3, 4]",a,comprehensions,0
What does set.difference() return?,Elements in both sets,All unique elements,Elements in the first set but not in the second,Elements in neither set,c,data_types,0
